基,(CƠ - cơ bản)
椅,(Y - cái ghế)
療,(LIỆU - trị liệu)
僚,(LIÊU - đồng nghiệp)
寮,(LIÊU - kí túc xá)
瞭,(LIÊU - rõ ràng)
鹿,(LỘC - con hươu)
麗,(LỆ - đẹp)
龍,(LONG - con rồng)
籠,(LUNG - cái giỏ)
堪,(KHAM - chịu đựng)
勘,(KHÁM - trực giác)
隙,(KHÍCH - lỗ hổng)
麓,(LỘC - chân núi)
薦,(TIẾN - tiến cử)
襲,(TẬP - tập kích)
模,(MÔ - mô hình)
慶,(KHÁNH - mừng)
摸,(MẠC - bắt chước)
暮,(MỘ - tối)
擬,(NGHĨ - phỏng theo)
凝,(NGƯNG - đọng lại)
膜,(MẠC - màng)
漠,(MẠC - sa mạc)
幕,(MẠC - màn, rèm)
疑,(NGHI - nghi ngờ)
募,(MỘ - chiêu mộ)
墓,(MỘ - ngôi mộ)
慕,(MỘ - hâm mộ)
義,(NGHĨA - nghĩa khí)
遡,(TỐ - ngược dòng)
儀,(NGHI - uy nghi)
愚,(NGU - ngu dốt)
偶,(NGẪU - ngẫu nhiên)
逆,(NGHỊCH - trái ngược)
塑,(TỐ - đắp tượng)
議,(NGHỊ - hội nghị)
犠,(HI - hi sinh)
屯,(ĐỒN - tấn)
隅,(NGU - góc)
鈍,(ĐỘN - đần độn)
頓,(ĐỐN - chỉnh đốn)
街,(NHAI - phố phường)
呉,(NGÔ - nước ngô)
誤,(NGỘ - giấc ngộ)
娯,(NGU - vui vẻ)
遇,(NGỘ - hội ngộ)
純,(THUẦN - thuần khiết)
崖,(NHAI - ven núi)
涯,(NHAI - cuộc đời)
佳,(GIAI - giai nhân)
虞,(NGU - sợ hãi)
牙,(NHA - răng to)
芽,(NHA - mầm)
雅,(NHÃ - nho nhã)
需,(NHU - nhu cầu)
既,(KÍ - đã qua)
慨,(KHÁI - khẳng khái)
封,(PHONG - niêm phong)
掛,(QUẢI - treo)
邪,(TÀ - tà ma)
儒,(NHO - nho nhã)
濡,(NHU - ướt)
耐,(NẠI - nhẫn nại)
概,(KHÁI - khái niệm)
柳,(LIÊU - cây liễu)
挿,(SÁP - sáp nhập)
縄,(THẰNG - dây thừng)
幣,(TỆ - tệ bạc)
誉,(DỰ - danh dự)
卯,(MÃO - trứng)
捜,(SƯU - sưu tầm)
亀,(QUY - con rùa)
幣,(TỆ - tiền tệ)
以,(DĨ - cái mốc)
似,(TỰ - tương tự)
挙,(CỬ - tuyển cử)
瓶,(BÌNH - cái bình)
端,(ĐOAN - cực đoan)
敢,(CẢM - dũng cảm)
非,(PHI - phi thường)
能,(NĂNG - năng lực)
瓦,(NGÕA - ngói)
餌,(NHỊ - mồi câu)
摂,(NHIẾP - nhiếp chính)
厳,(NGHIÊM - nghiêm khắc)
悲,(BI - bi thảm)
罪,(TỘI - tội phạm)
態,(THÁI - thái độ)
罷,(BÃI - bãi bỏ)
番,(PHIÊN - lần lượt)
翻,(PHIÊN - phiên dịch)
扉,(PHI - cánh cửa)
輩,(BỐI - tiền bối)
俳,(BÀI - nghệ sĩ)
熊,(HÙNG - gấu)
排,(BÀI - bài trừ)
藩,(PHIÊN - bờ rào)
審,(THẨM - thẩm phán)
錬,(LUYỆN - rèn luyện)
陳,(TRẦN - trần thuật)
棟,(ĐỐNG - nóc nhà)
練,(LUYỆN - luyện tập)
逢,(PHÙNG - trùng phùng)
縫,(PHÙNG - khâu vá)
峰,(PHONG - núi cao)
凍,(ĐÔNG - đông lại)
欄,(LAN - lan can)
過,(QUÁ - vượt quá)
渦,(QUA - xoáy nước)
禍,(HỌA - tai họa)
鍋,(OA - nồi)
蜂,(PHONG - con ong)
巧,(XẢO - tinh xảo)
朽,(HỦ - mục nát)
極,(CỰC - cực đoan)
把,(BẢ - cầm)
誇,(KHOA - khoa trương)
号,(HIỆU - số hiệu)
色,(SẮC - màu sắc)
絶,(TUYỆT - tuyệt đối)
肥,(PHÌ - béo)
汚,(Ô - ô nhiễm)
互,(HỖ - hỗ trợ)
顎,(NGẠC - cái cằm)
写,(TẢ - sao lại)
適,(THÍCH - thích hợp)
敵,(ĐỊCH - kẻ địch)
乗,(THỪA - lên xe)
剰,(THẶNG - thừa)
与,(DỰ - ban cho)
摘,(TRÍCH - hái)
滴,(TRÍCH - giọt nước)
嫡,(ĐÍCH - đích tôn)
垂,(THÙY - rủ xuống)
睡,(THỤY - ngủ)
華,(HOA - hoa mỹ)
嘩,(HOA - cãi nhau)
戚,(THÍCH - thân thích)
束,(THÚC - bó, buộc)
淑,(THỤC - hiền thục)
寂,(TỊCH - lặng im)
唾,(THOÁ - nước bọt)
郵,(BƯU - bưu điện)
叔,(THÚC - chú)
速,(TỐC - tốc độ)
疎,(SƠ - sơ sài)
督,(ĐỐC - giám đốc)
瀬,(LẠI - nông cạn)
辣,(LẠT - gian ác)
策,(SÁCH - kế sách)
査,(TRA - kiểm tra)
且,(THẢ - ngoài ra)
組,(TỔ - tổ chức)
勅,(SẮC - sắc lệnh)
刺,(THÍCH - đâm, chích)
頼,(LẠI - ỷ lại)
畳,(ĐIỆP - cái chiếu)
粗,(THÔ - thô sơ)
租,(TÔ - tô thuế)
祖,(TỔ - tổ tiên)
臣,(THẦN - đại thần)
姫,(CƠ - công chúa)
阻,(TRỞ - cản trở)
宜,(NGHI - tiện nghi)
鑑,(GIÁM - gương)
助,(TRỢ - trợ giúp)
狙,(THƯ - đích nhắm)
覧,(LÃM - triển lãm)
監,(GIÁM - giám đốc)
蔵,(TÀNG - tàng trữ)
臓,(TẠNG - nội tạng)
艦,(HẠM - chiến hạm)
濫,(LẠM - tràn đầy)
辱,(NHỤC - nhục nhã)
震,(CHẤN - địa chấn)
娠,(THẦN - mang thai)
斎,(TRAI - ăn chay)
藍,(LAM - xanh lam)
唇,(THẦN - cái môi)
辰,(THẦN - thìn)
振,(CHẤN - chấn động)
奈,(NẠI - tận cùng)
示,(THỊ - chỉ thị)
尉,(ÚY - đại úy)
慰,(ÚY - an ủi)
崇,(SÙNG - sùng bái)
業,(NGHIỆP - nông nghiệp)
僕,(BỘC - xưng tôi)
撲,(PHÁC - đánh nhau)
宗,(TÔNG - tôn giáo)
踪,(TUNG - biến di)
実,(THỰC - sự thực)
寿,(THỌ - tuổi thọ)
鋳,(CHÚ - đúc)
邦,(BANG - đất nước)
那,(NA - nhiều)
洗,(TIỂN - giặt, rửa)
熱,(NHIỆT - nóng)
勢,(THẾ - thế lực)
癒,(DŨ - chữa khỏi)
輸,(THÂU - nhập khẩu)
睦,(MỤC - thân thiện)
陵,(LĂNG - lăng mộ)
隆,(LONG - hưng thịnh)
陸,(LỤC - châu lục)
前,(TIỀN - rang)
愉,(DU - vui vẻ)
諭,(DỤ - dạy bảo)
着,(TRƯỚC - mặc, đến)
豹,(BÁO - con báo)
貌,(MẠO - diện mạo)
墾,(KHẨN - khai khẩn)
汰,(THẢI - chất thải)
喩,(DỤ - ẩn dụ)
差,(SAI - sai khác)
羞,(TU - nhút nhát)
看,(KHÁN - khán giả)
懇,(KHẨN - khẩn khoản)
駄,(ĐÀ - thồ hàng)
在,(TẠI - tồn tại)
存,(TỒN - tồn tại)
伐,(PHẠT - chinh phạt)
丹,(ĐAN, ĐƠN - viên thuốc)
舟,(CHU - thuyền)
為,(VI - hành vi)
革,(CÁCH - cải cách)
覇,(BÁ - bá chủ)
閥,(PHIỆT - quân phiệt)
我,(NGÃ - bản thân)
餓,(NGÃ - đói)
境,(CẢNH - cảnh giới)
偽,(NGỤY - ngụy biện)
再,(TÁI - tái sử dụng)
構,(CẤU - cấu tạo)
弧,(HỒ - hình cung)
脈,(MẠCH - mạch máu)
幸,(HẠNH - hạnh phúc)
鏡,(KÍNH - kính mắt)
孤,(CÔ - cô độc)
購,(CẤU - mua sắm)
溝,(CÂU - rãnh nước)
派,(PHÁI - phái đoàn)
講,(GIẢNG - bài giảng)
執,(CHẤP - chấp hành)
達,(ĐẠT - thành đạt)
秀,(TÚ - tuấn tú)
誘,(DỤ - mời rủ)
透,(THẤU - thấu suốt)
携,(HUỀ - mang theo)
摯,(CHÍ - mạnh mẽ)
寝,(TẨM - ngủ)
浸,(TẨM - ngâm)
侵,(XÂM - xâm nhập)
尋,(TẦM - tìm, hỏi)
